Price,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,GOOGL,META,NVDA,QQQ,SPY,AAPL,GOOGL,META,NVDA,QQQ,SPY,AAPL,GOOGL,META,NVDA,QQQ,SPY,AAPL,GOOGL,META,NVDA,QQQ,SPY,AAPL,GOOGL,META,NVDA,QQQ,SPY,AAPL,GOOGL,META,NVDA,QQQ,SPY
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-02,16.725034713745117,18.07859992980957,27.97032356262207,0.29358401894569397,60.82182312011719,119.1219253540039,19.608213424682617,18.099348068237305,28.0,0.3179999887943268,67.19999694824219,146.05999755859375,19.821428298950195,18.193193435668945,28.18000030517578,0.31825000047683716,67.2300033569336,146.14999389648438,19.343929290771484,17.931682586669922,27.420000076293945,0.3127500116825104,66.4800033569336,144.72999572753906,19.779285430908203,18.003503799438477,27.440000534057617,0.3140000104904175,66.7300033569336,145.11000061035156,560518000,101550348,69846400,478836000,70695900,192059000
2013-01-03,16.513927459716797,18.08909797668457,27.740568161010742,0.2938147485256195,60.50506591796875,118.85275268554688,19.360713958740234,18.109859466552734,27.770000457763672,0.31825000047683716,66.8499984741211,145.72999572753906,19.631071090698242,18.316566467285156,28.469999313354492,0.3217499852180481,67.33999633789062,146.3699951171875,19.321428298950195,18.036035537719727,27.59000015258789,0.31450000405311584,66.6500015258789,145.33999633789062,19.567142486572266,18.14139175415039,27.8799991607666,0.3179999887943268,67.19999694824219,145.99000549316406,352965200,92635272,63140600,298888000,47366500,144761800
2013-01-04,16.053943634033203,18.44654655456543,28.729516983032227,0.30350860953330994,60.305938720703125,119.37474060058594,18.821428298950195,18.46771812438965,28.760000228881836,0.32875001430511475,66.62999725341797,146.3699951171875,19.236785888671875,18.55530548095703,28.93000030517578,0.3297500014305115,66.87999725341797,146.61000061035156,18.77964210510254,18.2102108001709,27.829999923706055,0.3177500069141388,66.47000122070312,145.6699981689453,19.177499771118164,18.251752853393555,28.010000228881836,0.3187499940395355,66.87999725341797,145.97000122070312,594333600,110429460,72715400,524968000,33972500,116817700
2013-01-07,15.959500312805176,18.366058349609375,29.388818740844727,0.29473796486854553,60.32406234741211,119.04852294921875,18.71071434020996,18.387136459350586,29.420000076293945,0.3192499876022339,66.6500015258789,145.97000122070312,18.9035701751709,18.503002166748047,29.790000915527344,0.3294999897480011,66.76000213623047,146.11000061035156,18.399999618530273,18.28278350830078,28.649999618530273,0.31700000166893005,66.25,145.42999267578125,18.64285659790039,18.40465545654297,28.690000534057617,0.32850000262260437,66.45999908447266,145.85000610351562,484156400,66161772,83781800,610732000,26766200,110002500
2013-01-08,16.002458572387695,18.329814910888672,29.029199600219727,0.28827551007270813,60.206382751464844,118.70598602294922,18.761070251464844,18.35085105895996,29.059999465942383,0.3122499883174896,66.5199966430664,145.5500030517578,18.996070861816406,18.425926208496094,29.600000381469727,0.32100000977516174,66.81999969482422,145.91000366210938,18.616071701049805,18.12887954711914,28.860000610351562,0.3100000023841858,66.16999816894531,144.97999572753906,18.90035629272461,18.406906127929688,29.510000228881836,0.3199999928474426,66.63999938964844,145.7100067138672,458707200,66976956,45871300,466424000,28734900,121265100
2013-01-09,15.75235652923584,18.45029640197754,30.557579040527344,0.28181296586990356,60.43265914916992,119.0077133178711,18.467857360839844,18.471471786499023,30.59000015258789,0.30524998903274536,66.7699966430664,145.9199981689453,18.750356674194336,18.47722625732422,30.600000381469727,0.3162499964237213,66.94999694824219,146.32000732421875,18.428213119506836,18.233232498168945,29.489999771118164,0.3032500147819519,66.55000305175781,145.63999938964844,18.66071319580078,18.325075149536133,29.670000076293945,0.31474998593330383,66.62000274658203,145.8699951171875,407604400,80907012,104787700,695020000,25600300,90745600
2013-01-10,15.947624206542969,18.534284591674805,31.26682472229004,0.2822745144367218,60.7946891784668,119.95380401611328,18.696786880493164,18.55555534362793,31.299999237060547,0.3057500123977661,67.16999816894531,147.0800018310547,18.882856369018555,18.643644332885742,31.450000762939453,0.3095000088214874,67.2699966430664,147.08999633789062,18.411428451538086,18.35585594177246,30.280000686645508,0.30399999022483826,66.55000305175781,145.97000122070312,18.876785278320312,18.589338302612305,30.600000381469727,0.30799999833106995,67.2300033569336,146.72999572753906,601146000,73354572,95316400,506368000,37528000,130735400
2013-01-11,15.849835395812988,18.497039794921875,31.68638038635254,0.28181296586990356,60.876155853271484,119.94567108154297,18.582143783569336,18.518268585205078,31.719999313354492,0.30524998903274536,67.26000213623047,147.07000732421875,18.761428833007812,18.579328536987305,31.959999084472656,0.3072499930858612,67.29000091552734,147.14999389648438,18.536428451538086,18.425926208496094,31.100000381469727,0.3022499978542328,67.0,146.61000061035156,18.60714340209961,18.56856918334961,31.280000686645508,0.3070000112056732,67.13999938964844,147.0399932861328,350506800,51356592,89598000,513172000,21158600,113917300
